,title,img_url,date,rating,score,description
10,Hit the Road,https://static.metacritic.com/images/products/movies/1/fc578f1d954b34a4ccdfa9358fe06350-98.jpg,"April 22, 2022 ", Not Rated,89,"A family of four – two middle-aged parents and their sons, one a taciturn adult, the other an ebullient six-year-old – drive across the Iranian countryside. Over the course of the trip, they bond over memories of the past, grapple with fears of the unknown, and fuss over their sick dog."
11,,,,,,
12,Marvelous and the Black Hole,https://static.metacritic.com/images/products/movies/9/50bef59b88a8e5542cb1dca6cc9d1cc1-98.jpg,"April 22, 2022 ", Not Rated,60,"A teenage delinquent (Miya Cech) befriends a surly magician (Rhea Perlman) who helps her navigate her inner demons and dysfunctional family with sleight of hand magic. A coming-of-age comedy that touches on unlikely friendships, grief and finding hope in the darkest moments."
13,,,,,,
14,The Revolution Generation,https://static.metacritic.com/images/products/movies/2/5f4f9a83dc8b3eb4ab75065039d0095d-98.jpg,"April 22, 2022 ", Not Rated,tbd,The Revolution Generation is an exploration of the world-changing activism and potential of the largest youth generation in history. The film shows examples of young leaders working to revolutionize systems that have failed their generation. It paints a powerful and hopeful picture of how today’s youth can solve global political and environmental crises.
15,,,,,,
16,Saturday Fiction,https://static.metacritic.com/images/products/movies/0/662a5729069c2a81af69d17c123967ef-98.jpg,"April 22, 2022 ", Not Rated,48,"1941. Since the Japanese occupation, China has become a wartime intelligence battlefield for the Allies and the Axis Powers. Iconic actress Jean Yu (Gong Li) returns to Shanghai, ostensibly to appear in the play “Saturday Fiction” directed by her former lover. But what is her true aim? To free her ex-husband? To gather intelligence for the Allied Forces? To work for her adoptive father? Or to escape from war with her lover? As she embarks on her mission, with friends ever more difficult to distinguish from undercover agents, as everything spirals out of control, Jean Yu starts to question whether to reveal what she has learned about in the imminent Pearl Harbor attack."
17,,,,,,
18,Sexual Drive,https://static.metacritic.com/images/products/movies/3/f9349513f382998f84acf1dcfee0a447-98.jpg,"April 22, 2022 ", Not Rated,tbd,"Sexual Drive is an unconventional triptych - equal parts thriller, sex comedy, and gastronomy - following the seemingly unconnected lives of three people around Japan and their appetites, both culinary and carnal. In the first story, designer Enatsu worries about his sexless marriage. Next, office worker Akane is recovering from driving-induced panic attacks. In the final third, elite advertising agent Ikeyama wants to end a relationship with his lover. Connecting all three is a shabby man who calls himself Kurita. He appears and presents each with a secret. Both suspicious and revolting, Kurita gradually reveals to each deep, mouth-watering truths regarding their sexual drive..."
19,,,,,,
20,Stanleyville,https://static.metacritic.com/images/products/movies/6/b5b8bf166221a18371f90d2e5141edd4-98.jpg,"April 22, 2022 ", Not Rated,tbd,"Prim and proper Maria Barbizan (Susanne Wuest) unceremoniously walks away from her boring job, her inept husband, and her obnoxious daughter. Moments later, she is swept up in a bizarre contest alongside a handful of idiosyncratic characters, all competing for the chance to win true enlightenment… and one slightly used habanero-orange compact sport utility vehicle."
21,,,,,,
22,The White Fortress,https://static.metacritic.com/images/products/movies/2/3ee56cec259a58c3c1733972dbd7f1ce-98.jpg,"April 22, 2022 ", Not Rated,80,"In the rundown Sarajevo suburb of Alipasino Polje, Faruk is an orphan who lives with his ill grandmother and spends his days foraging for scrap metal and dabbling in petty crime. One day he meets Mona, a timid teen from a politically powerful and affluent family. As Mona dreams of escaping the overbearing toxicity of her home life, she seeks refuge and opens herself up to Faruk, a boy from a world entirely different than her own."
23,,,,,,
24,Anaïs in Love,https://static.metacritic.com/images/products/movies/9/54b4c74c6637a8bcf2e8a9d3e0960c61-98.jpg,"April 29, 2022 ", Not Rated,tbd,A spirited young woman (Anaïs Demoustier) falls in love with the novelist wife of the man with whom she’s having an affair.
25,,,,,,
26,The Aviary,https://static.metacritic.com/images/products/movies/6/b7726e9ffab77e6a535902278d3bde72-98.jpg,"April 29, 2022 ", R,tbd,"Two women's desperately try to escape the clutches of Skylight, an insidious cult. Lured in by the promise of ""freedom"" in the isolated desert campus called ""The Aviary"", Jillian (Malin Akerman) and Blair (Lorenzo Izzo) join forces to escape in hopes of real freedom. Consumed by fear and paranoia, they can't shake the feeling that they are being followed by the cult's leader, Seth (Chris Messina), a man as seductive as he is controlling. The more distance the pair gains from the cult, the more Seth holds control of their minds. With supplies dwindling and their senses failing, Jillian and Blair are faced with a horrifying question: how do you run from an enemy who lives inside your head?"
27,,,,,,
28,Fiddler's Journey to the Big Screen,https://static.metacritic.com/images/products/movies/3/35a57d2796f8ca522ea82111281d2853-98.jpg,"April 29, 2022 ", Not Rated,tbd,"Fifty years after the life-affirming tale of Tevye the milkman leaped from stage to screen, the beloved movie's complete ""making-of"" odyssey is now told. Reimagining the Broadway hit into a widescreen epic is visionary director Norman Jewison for whom the project proves deeply personal and transformative. Rare on-location footage and newly found stills put viewers in the director's chair, while the filmmakers, key collaborators, and cast-including lead actor Topol, composer John Williams, and production designer Robert F. Boyle-offer surprising production anecdotes. Narrated by Jeff Goldblum, this engrossing insider account from Oscar-nominated documentary filmmaker Daniel Raim captures the triumphs and trials of the creative process and Fiddler's unparalleled impact as a cultural force."
29,,,,,,
30,Fortress: Sniper's Eye,https://static.metacritic.com/images/products/movies/5/481d510180334736ed4000176f835e5f-98.jpg,"April 29, 2022 ", R,tbd,"This action cyber-thriller continues the adventure begun in Fortress. Weeks after the deadly assault on Fortress Camp, Robert (Bruce Willis) makes a daring rescue to save Sasha, the widow of his old nemesis Balzary (Chad Michael Murray). But back in the camp’s command bunker, it appears Sasha may have devious plans of her own. As a new attack breaks out, Robert is confronted with a familiar face he thought he’d never see again."
31,,,,,,
32,Hatching,https://static.metacritic.com/images/products/movies/8/10067d923bfdf73679b1d1c17d27268d-98.jpg,"April 29, 2022 ", NR,75,"12-year-old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief."
33,,,,,,
34,Los Conductos,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"April 29, 2022 ", NR,tbd,"Medellín, Colombia. Pinky is on the run. He has just freed himself from the grip of a religious sect. He finds a place to squat and a job in a tee-shirt factory. Misled by his own faith, he questions everything. But as he tries to put back together the pieces of his broken life, violent memories return to haunt him and ask for revenge."
35,,,,,,
36,Memory,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"April 29, 2022 ", R,tbd,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. A remake of the 2003 Belgian film 'The Memory of a Killer'.
37,,,,,,
38,Vortex,https://static.metacritic.com/images/products/movies/1/73847983036ec97cf231a6b4a272a5fc-98.jpg,"April 29, 2022 ", Not Rated,81,“Life is a short party that will soon be forgotten.”
39,,,,,,
40,Doctor Strange in the Multiverse of Madness,https://static.metacritic.com/images/products/movies/1/d51ac20ea4249e511e8397498a1e85da-98.jpg,"May 6, 2022 ", PG-13,tbd,The Multiverse is a concept about which we know frighteningly little.
41,,,,,,
42,Happening,https://static.metacritic.com/images/products/movies/4/2cbc152436f4b873eadae2491a9cf0f7-98.jpg,"May 6, 2022 ", Not Rated,83,"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront shame and pain, even if she must risk prison to do so. [Venice]"
43,,,,,,
44,In Front of Your Face,https://static.metacritic.com/images/products/movies/1/f6aca418158811c4c5917d0323429a33-98.jpg,"May 6, 2022 ", Not Rated,93,"After years living abroad, former actress Sangok (Lee Hyeyoung) is back in Seoul, staying with her sister Jeongok (Cho Yunhee) in her high-rise apartment. The siblings sleep late, have breakfast in a cafe and visit a restaurant owned by Jeongok's son. But as the details of Sangok's day accrue (a spill on her blouse, an encounter at her childhood home), it becomes clear that there is much she is not revealing. And these mysterious circumstances have something to do with her decision to meet with film director Jaewon (Kwon Haehyo) to discuss her return to acting."
45,,,,,,
46,,,,,,
47,,,,,,
48,Operation Mincemeat,https://static.metacritic.com/images/products/movies/7/aa3801e4f391e9cec8132664942d8e00-98.jpg,"May 6, 2022 ", PG-13,55,"It’s 1943. The Allies are determined to break Hitler’s grip on occupied Europe, and plan to launch an all-out assault on Sicily; but they face an impossible challenge - how to protect the invasion force from potential annihilation. It falls to two remarkable intelligence officers, Ewen Montagu (Colin Firth) and Charles Cholmondeley (Matthew Macfadyen) to dream the most inspired and improbable disinformation strategy of the war - centered on the most unlikely of secret agents: a dead man. [Netflix]"
49,,,,,,
50,The Ravine,https://static.metacritic.com/images/products/movies/1/97a896688d2388b840ebbb542ac77f00-98.jpg,"May 6, 2022 ", R,tbd,"When an unspeakable crime rocks a peaceful community, family and friends are left to wonder if they overlooked the murderer among them or if there might be more to the story. Inspired by true events."
51,,,,,,
52,Shepherd,https://static.metacritic.com/images/products/movies/0/b290f433d32546758fa1e7aef1a8f9ee-98.jpg,"May 6, 2022 ", Not Rated,tbd,"Haunted by the recent death of his wife, widower Eric Black (Tom Hughes) seeks solitude as a shepherd on a remote Scottish island. As the bleak desolation of the foreboding landscape and terrifying visions begin to overwhelm him, Eric is pushed to the brink of madness."
53,,,,,,
54,,,,,,
55,,,,,,
56,The Twin,https://static.metacritic.com/images/products/movies/9/cdfa8a832674209c43a2a814a85d17eb-98.jpg,"May 6, 2022 ", Not Rated,tbd,"In The Twin, following the aftermath of a tragic accident that claimed the life of one of their twins, Rachel (Teresa Palmer) and husband Anthony (Steven Cree) relocate to the other side of the world with their surviving son in the hopes of building a new life. What begins as a time of healing in the quiet Scandinavian countryside soon takes an ominous turn when Rachel begins to unravel the torturous truth about her son and confronts the malicious forces attempting to take a hold of him."
57,,,,,,
58,This Much I Know to Be True,https://static.metacritic.com/images/products/movies/9/a8b85131b69f5f031762f301d6a5d484-98.jpg,"May 11, 2022 ", Not Rated,84,"Explores the creative relationship and songs from Nick Cave and Warren Ellis' last two studio albums, ""Ghosteen"" and ""Carnage""."
59,,,,,,
60,Family Camp,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"May 13, 2022 ", PG,tbd,"When their pastor encourages the congregation to sign-up for a week away at family camp, Grace (Leigh-Allyn Baker) believes she’s found the perfect cure for her imperfect clan—even if they’d all rather be anywhere but at rustic Camp Katokwah."
61,,,,,,
62,,,,,,
63,,,,,,
64,Firestarter,https://static.metacritic.com/images/products/movies/4/7b8d56da7e4da77d2237a5839bc73bce-98.jpg,"May 13, 2022 ", R,tbd,"For more than a decade, parents Andy (Zac Efron) and Vicky (Sydney Lemmon) have been on the run, desperate to hide their daughter Charlie (Ryan Kiera Armstrong) from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family’s location, a mysterious operative (Michael Greyeyes) is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans."
65,,,,,,
66,Homebound,https://static.metacritic.com/images/products/movies/4/dece9f3efab52c5e3ebed6d2445610fa-98.jpg,"May 13, 2022 ", Not Rated,tbd,A trip to the countryside turns out to be far from idyllic for a father and his new fiancée when his kids decide the house is a little too crowded.
67,,,,,,
68,The Innocents,https://static.metacritic.com/images/products/movies/8/c39b46b4cad8e9f183c9ee7bd70edb01-98.jpg,"May 13, 2022 ", NR,74,"Four children become friends during the bright Nordic summer. Out of sight of the adults, they discover they have hidden powers. While exploring their newfound abilities in the nearby forests and playgrounds, their innocent play takes a dark turn and strange things begin to happen."
69,,,,,,
70,Jazz Fest: A New Orleans Story,https://static.metacritic.com/images/products/movies/4/c52c1048e40fc8ff573de4b7e3f1a43f-98.jpg,"May 13, 2022 ", PG-13,tbd,"The New Orleans Jazz & Heritage Festival presented by Shell, aka “Jazz Fest,” is the signature annual music and cultural event of the city and has been called America’s greatest festival. Celebrating the music, food, and arts and crafts of all of Louisiana since 1970, Jazz Fest is an essential showcase of the rich heritage of the region, and hundreds of thousands attend the event each year. Local music heroes are joined on 14 stages by some of the most important figures in entertainment, highlighting the connections between Louisiana culture and the world. Jazz Fest: A New Orleans Story weaves together live performances and interviews from the 50th anniversary of the iconic festival, featuring some of the biggest names in the music industry, along with a wealth of archival documentary footage from the past half century. This film not only captures the Festival in all of its beauty and glory, but also delves deep into the rich culture of The Big Easy."
71,,,,,,
72,Montana Story,https://static.metacritic.com/images/products/movies/0/23211a82a726786bdf61d66f6ac89101-98.jpg,"May 13, 2022 ", R,78,"Two estranged siblings (Haley Lu Richardson, Owen Teague) return home to the sprawling ranch they once knew and loved, confronting a deep and bitter family legacy against a mythic American backdrop."
73,,,,,,
74,Pleasure,https://static.metacritic.com/images/products/movies/2/9b2655b9529e515ff752884206ef6706-98.jpg,"May 13, 2022 ", Unrated,74,"Ninja Thyberg’s debut feature film is a journey into the Los Angeles porn industry through the lens of newcomer Bella Cherry (Sofia Kappel). Strong, self-confident and determined, Bella embarks on amission to become the best at any cost."
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,Emergency,https://static.metacritic.com/images/products/movies/7/4e3806af4718f0d223e6966ea8375b2c-98.jpg,"May 20, 2022 ", Not Rated,71,"Straight-A college student Kunle and his laid-back best friend, Sean, are about to have the most epic night of their lives. Determined to be the first Black students to complete their school’s frat party legendary tour, the friends strap in for their ultimate assignment, Solo cups in hand. But a quick pit stop at home alters their plans when they find a white girl passed out on the living room floor. Faced with the risks of calling the police under life-threatening optics, Kunle, Sean, and their Latino roommate, Carlos, must find a way to de-escalate the situation before it’s too late. [Sundance]"
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,Men,https://static.metacritic.com/images/products/movies/2/3c27c1461f2e12c21a5fcf63ad2ea332-98.jpg,"May 20, 2022 ", R,tbd,"In the aftermath of a personal tragedy, Harper (Jessie Buckley) retreats alone to the beautiful English countryside, hoping to have found a place to heal. But someone or something from the surrounding woods appears to be stalking her. What begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears."
87,,,,,,
88,The Bob's Burgers Movie,https://static.metacritic.com/images/products/movies/6/f572db0266262683dd59e87050ef3f32-98.jpg,"May 27, 2022 ", TV-14,tbd,"The story begins when a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, blocking the entrance indefinitely and ruining the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong."
89,,,,,,
90,Top Gun: Maverick,https://static.metacritic.com/images/products/movies/1/6651dec200d67b76ee79b2c1a68e9e55-98.jpg,"May 27, 2022 ", PG-13,tbd,"After more than thirty years of service as one of the Navy’s top aviators, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. When he finds himself training a detachment of Top Gun graduates for a specialized mission the likes of which no living pilot has ever seen, Maverick encounters Lt. Bradley Bradshaw (Miles Teller), call sign: “Rooster,” the son of Maverick’s late friend and Radar Intercept Officer Lt. Nick Bradshaw, aka “Goose.” Facing an uncertain future and confronting the ghosts of his past, Maverick is drawn into a confrontation with his own deepest fears, culminating in a mission that demands the ultimate sacrifice from those who will be chosen to fly it."
91,,,,,,
92,After Blue (Dirty Paradise),https://static.metacritic.com/images/products/movies/6/54b77c809c631308831d450edabf2307-98.jpg,"June 3, 2022 ", Not Rated,tbd,"In a faraway future, on a wild and untamed female inhabited planet called After Blue, a lonely teenager named Roxy (Paula Luna) unknowingly releases a mystical, dangerous, and sensual assassin from her prison. Roxy and her mother Zora (Elina Löwensohn) are held accountable, banished from their community, and forced to track down the murderer named Kate Bush. Haunted by the spirits of her murdered friends, Roxy sets out on a long and strange journey across the supranatural territories of this filthy paradise. The newest vision from Bertand Mandico (The Wild Boys) plays like a lesbian El Topo (in space!) with stunning 35mm in-camera practical effects, otherworldly set pieces, and a dazzling score by Pierre Desprats. [Altered Innocence]"
93,,,,,,
94,Benediction,https://static.metacritic.com/images/products/movies/8/3ae262f64f60707c6c7f6c7cfb4531dd-98.jpg,"June 3, 2022 ", Not Rated,75,"Benediction explores the turbulent life of WWI poet Siegfried Sassoon (Jack Lowden). The writer and soldier was a complex man who survived the horrors of fighting in the First World War and was decorated for his bravery but who became a vocal critic of the government’s continuation of the war when he returned from service. His poetry was inspired by his experiences on the Western Front, and he became one of the leading war poets of the era. Adored by members of the aristocracy as well as stars of London’s literary and stage world, he embarked on affairs with several men as he attempted to come to terms with his homosexuality. At the same time, broken by the horror of war, he made his life’s journey a quest for salvation, trying to find it within the conformity of marriage and religion."
95,,,,,,
96,Eiffel,https://static.metacritic.com/images/products/movies/9/c532d96df2014da5cc677cffb1416001-98.jpg,"June 3, 2022 ", R,tbd,"Eiffel (Romain Duris) has finished his collaboration on the Statue of Liberty and is pressured by the French government to design something spectacular for the 1889 Paris World Fair. Eiffel simply wants to design the subway, but everything changes when he crosses paths with a mysterious woman from his past (Emma Mackey). Their long lost, forbidden passion inspires him to build the iconic Eiffel Tower."
97,,,,,,
98,Neptune Frost,https://static.metacritic.com/images/products/movies/1/4a8c5de3e8a95eab3fa304b0cdcee26f-98.jpg,"June 3, 2022 ", Not Rated,72,"In the hilltops of Burundi, a group of escaped coltan miners form an anti-colonialist computer hacker collective. From their camp in an otherworldly e-waste dump, they attempt a takeover of the authoritarian regime exploiting the region's natural resources – and its people. When an intersex runaway and an escaped coltan miner find each other through cosmic forces, their connection sparks glitches within the greater divine circuitry."
99,,,,,,
100,The Phantom of the Open,https://static.metacritic.com/images/products/movies/1/e6c5468ec39b30944f3e47b971077a06-98.jpg,"June 3, 2022 ", PG-13,65,"Maurice Flitcroft (Mark Rylance), a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship Qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process."
101,,,,,,
102,Poser,https://static.metacritic.com/images/products/movies/5/0dd12099411b129503e2c726637d3574-98.jpg,"June 3, 2022 ", Not Rated,tbd,"As Lennon fuels her desire for entree into a podcast featuring live music and conversations with the artists she so fervently admires, Lennon finds inspiration for her own musical ambitions...and a growing sense of misdirected identity."
103,,,,,,
104,Watcher,https://static.metacritic.com/images/products/movies/0/eb520214ffb0a70b84440a16c56526fa-98.jpg,"June 3, 2022 ", Not Rated,64,"As a serial killer stalks the city, Julia (Maika Monroe) – a young actress who just moved to town with her boyfriend – notices a mysterious stranger watching her from across the street."
105,,,,,,
106,Jurassic World: Dominion,https://static.metacritic.com/images/products/movies/2/dc9b45d9ba9d83e7c02e80feb8807911-98.jpg,"June 10, 2022 ", PG-13,tbd,Plot kept under wraps.
107,,,,,,
108,,,,,,
109,,,,,,
110,Cha Cha Real Smooth,https://static.metacritic.com/images/products/movies/1/ffc484a3820f0395084ff1c2585294b5-98.jpg,"June 17, 2022 ", Not Rated,76,"Fresh out of college — but now what? Higher education failed to provide 22-year-old Andrew with a clear life path going forward, so he’s stuck back at home with his family in New Jersey. But if college did teach him one thing, it’s drinking and partying — skills that make him the perfect candidate for a job party-starting at the bar and bat mitzvahs of his younger brother’s classmates. When Andrew befriends a local mom, Domino, and her daughter, Lola, he finally discovers a future he wants, even if it might not be his own. [Sundance]"
111,,,,,,
112,Official Competition,https://static.metacritic.com/images/products/movies/5/14ea8a9794d9a8940ee149c86d1022f4-98.jpg,"June 17, 2022 ", Not Rated,74,"In search of significance and social prestige, a billionaire businessman decides to make a film to leave his mark. To do so, he hires the best: a stellar team formed by famous filmmaker Lola Cuevas (Penélope Cruz) and two renowned actors, both enormously talented, but with even bigger egos: the Hollywood actor Félix Rivero (Antonio Banderas) and radical theater thespian Iván Torres (Oscar Martínez). Both legends, but not exactly the best of friends. Through a series of increasingly eccentric challenges set by Lola, Felix and Iván must face not only each other, but also their own legacies."
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,The Black Phone,https://static.metacritic.com/images/products/movies/2/1ba09d81f98c6d120abde6fb71ae0fd1-98.jpg,"June 24, 2022 ", R,79,"Finney Shaw, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney."
119,,,,,,
120,Flux Gourmet,https://static.metacritic.com/images/products/movies/3/a8878d083db59a81bb80fc5457d1e78e-98.jpg,"June 24, 2022 ", NR,76,"Set at an institute devoted to culinary and alimentary performance, a collective finds themselves embroiled in power struggles, artistic vendettas and gastrointestinal disorders."
121,,,,,,
122,,,,,,
123,,,,,,
124,Minions: The Rise of Gru,https://static.metacritic.com/images/products/movies/6/47f5d3f02528ac1a1062cf67dfb326f1-98.jpg,"July 1, 2022 ", PG,tbd,"In the heart of the 1970s, amid a flurry of feathered hair and flared jeans, Gru is growing up in the suburbs. A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them. Luckily, he gets some mayhem-making backup from his loyal followers, the Minions. Together, Kevin, Stuart, Bob, and Otto—a new Minion sporting braces and a desperate need to please—deploy their skills as they and Gru build their first lair, experiment with their first weapons and pull off their first missions. When the Vicious 6 oust their leader, legendary fighter Wild Knuckles (Alan Arkin), Gru interviews to become their newest member. It doesn’t go well (to say the least), and only gets worse after Gru outsmarts them and suddenly finds himself the mortal enemy of the apex of evil. On the run, Gru will turn to an unlikely source for guidance, Wild Knuckles himself, and discover that even bad guys need a little help from their friends."
125,,,,,,
126,,,,,,
127,,,,,,
128,What Happened at 625 River Road,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"July 1, 2022 ", Not Rated,tbd,"A psychological thriller, based on true events that occurred, following two female students to New York. As they arrive at their rental home, 625 River Rd, a chain of mysterious events take place that are still unsolved to this day."
129,,,,,,
130,,,,,,
131,,,,,,
132,Both Sides of the Blade,https://static.metacritic.com/images/products/movies/8/5b3a3cdd963a92e2b0d3d2c063b7988c-98.jpg,"July 8, 2022 ", Not Rated,74,"Sara (Juliette Binoche) and Jean (Vincent Lindon) have been in a loving, stable relationship for ten years. They are happy. He is her rock, someone she can hold on to. When they first met, Sara was in a relationship with François (Grégoire Colin), Jean’s best friend. One day, Sara sees François on the street. He does not see her, but she is overwhelmed by a sensation that her life could suddenly change. François does indeed get in touch with Jean to suggest that they work together again. Before long, things are in danger of spiralling out of control. [Berlin]"
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,Mrs Harris Goes to Paris,https://static.metacritic.com/images/products/movies/1/308cc28963bef5b8e1d3f8795052e4a3-98.jpg,"July 15, 2022 ", PG,tbd,"A widowed cleaning lady in 1950s London falls madly in love with a couture Dior dress, and decides that she must have one of her own. After she works, starves and gambles to raise the funds to pursue her dream, she embarks on an adventure to Paris which will change not only her own outlook, but the very future of the House of Dior."
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,Samaritan,https://static.metacritic.com/images/products/movies/0/44f3b3de9f2dd880a941985940681f6a-98.jpg,"August 26, 2022 ", PG-13,tbd,A young boy learns that a superhero who was thought to have gone missing after an epic battle twenty years ago may in fact still be around.
151,,,,,,
152,,,,,,
153,,,,,,
154,DIO: Dreamers Never Die,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"September 1, 2022 ", Not Rated,tbd,"The first career spanning documentary on the heavy metal vocalist to be authorized by the artist's estate includes scenes with peers, family and friends; never before seen footage; personal photos."
155,,,,,,
156,Honk for Jesus. Save Your Soul.,https://static.metacritic.com/images/products/movies/9/72364e29256cc46f6e334979192c2644-98.jpg,"September 2, 2022 ", Not Rated,65,"As the proud first lady of a Southern Baptist megachurch, Trinitie Childs (Regina Hall) carries immense responsibility on her shoulders. Her church, Wander To Greater Paths, once served a congregation in the tens of thousands, but after a scandal involving her husband, Pastor Lee-Curtis Childs (Sterling K. Brown), forced the church to close temporarily, Trinitie is struggling to manage the aftermath. Now Trinitie and Lee-Curtis must rebuild their congregation and reconcile their faith by all means necessary to make the biggest comeback that commodified religion has ever seen."
157,,,,,,
158,After Ever Happy,https://static.metacritic.com/images/products/movies/2/c074ceedb7cdca73c760aff1e667ef23-98.jpg,"September 7, 2022 ", Not Rated,tbd,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for."
159,,,,,,
160,,,,,,
161,,,,,,
162,Distant,https://static.metacritic.com/images/products/movies/98w-movie.jpg,"September 16, 2022 ", PG-13,tbd,"It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor."
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
